Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM1,2015-01-19,1,Surface Water,15,0.004,30.9,0.26,4.03,2.5,2.83,17.2,75,5.1,0.2,20.4,12,6.8,0.16,0.23,1.3,12000,6700,4.4,51.0,56,1.3,7.1
Deep Bay,DM1,2015-02-07,1,Surface Water,8,0.004,36.4,0.27,3.37,1.7,2.48,15.8,47,7,1.5,20.9,11,7.3,0.15,0.17,1.5,1200,880,6.4,73.0,18,0.81,3.6
Deep Bay,DM1,2015-03-05,1,Surface Water,17,0.007,81.3,0.48,4.23,1.9,3.43,18.6,150,6.4,0.7,20.5,8.7,7.3,0.2,0.13,2.2,7500,4700,6.9,83.0,4.1,1.1,3.8
Deep Bay,DM1,2015-04-25,1,Surface Water,3,0.028,21.0,0.37,5.13,4,4.13,24.7,13,7.1,1.3,20.1,8.1,7.3,0.28,0.28,0.85,5000,2900,4.6,62.0,8.4,3,2.7
Deep Bay,DM1,2015-05-09,1,Surface Water,6.9,0.012,41.4,0.23,2.28,1,1.91,28.6,56,6.1,0.5,17.0,7.2,7.4,0.18,0.18,1.1,490,170,5.2,74.0,4.9,0.63,2.5
Deep Bay,DM1,2015-06-13,1,Surface Water,18,0.074,44.5,0.58,4.91,3.5,3.21,31.1,68,14,1.0,4.3,37,7.7,0.29,0.89,0.52,1100,560,5.9,82.0,50,1.8,5.7
Deep Bay,DM1,2015-07-18,1,Surface Water,3.7,0.007,13.1,0.43,2.95,2.1,2.15,31.7,22,11,1.2,14.7,1.5,6.8,0.31,0.35,0.5,2800,1500,3.7,55.0,4.5,1.3,1.6
Deep Bay,DM1,2015-08-03,1,Surface Water,2.6,0.003,16.5,0.23,2.72,0.88,2.28,31.0,15,9.3,1.0,9.2,2.9,6.9,0.16,0.64,1.2,170,90,3.4,49.0,5.3,0.44,2
Deep Bay,DM1,2015-09-12,1,Surface Water,2.8,0.014,12.9,0.35,3.06,1.6,2.56,29.6,16,9.1,0.6,14.8,4.3,7.2,0.26,0.63,0.83,830,230,4.5,64.0,6.8,1.1,3.4
Deep Bay,DM1,2015-10-10,1,Surface Water,3.6,0.013,10.5,0.43,4.6,3.1,2.8,27.1,16,13,1.1,8.6,3.4,7.2,0.28,0.63,0.87,2500,800,3.4,45.0,7.4,1.3,2.2
Deep Bay,DM1,2015-11-07,1,Surface Water,5,0.012,10.4,0.45,4.48,3.1,2.98,26.8,17,8.2,1.0,15.3,4.6,7.1,0.31,0.52,0.86,47000,32000,3.0,41.0,8.4,1.6,2.5
Deep Bay,DM1,2015-12-05,1,Surface Water,6.4,0.015,15.3,0.36,4.83,3.2,3.33,22.2,34,8.6,0.8,16.8,3.4,7.3,0.25,0.53,1.1,200000,180000,3.1,39.0,8.5,1.7,3.6
Deep Bay,DM1,2016-01-11,1,Surface Water,4.7,0.03,15.1,0.33,4.07,3.1,2.57,19.4,25,3,1.5,18.6,6.4,7.8,0.2,0.31,0.66,11000,8100,5.6,68.0,20,1.6,2.8
Deep Bay,DM1,2016-02-03,1,Surface Water,6.6,0.006,11.9,0.44,6.97,5.2,4.37,15.3,15,8.7,1.0,20.6,2,7.0,0.22,0.67,1.1,560000,360000,3.6,41.0,1.7,2.6,6
Deep Bay,DM1,2016-03-16,1,Surface Water,4.8,0.006,20.0,0.26,4.22,2.5,3.12,15.8,26,7.8,1.0,16.0,3.9,7.2,0.18,0.32,1.4,8400,6800,4.7,52.0,9.9,1.4,3.5
Deep Bay,DM1,2016-04-13,1,Surface Water,9.1,0.017,36.0,0.34,5.24,4.8,4.04,22.5,66,11,1.2,5.0,5.1,7.0,0.2,0.1,0.34,250000,210000,2.0,24.0,2,3.6,5
Deep Bay,DM1,2016-05-12,1,Surface Water,3.8,0.007,16.7,0.33,2.9,2.1,2.1,27.4,23,10,1.5,7.6,2.9,6.9,0.33,0.17,0.63,4800,1600,3.6,48.0,1.1,1.3,1.3
Deep Bay,DM1,2016-06-03,1,Surface Water,17,0.021,64.8,0.47,5.34,4.2,3.04,31.4,150,14,1.2,4.0,5.8,7.1,0.41,0.76,0.38,12000,6100,3.4,47.0,3.6,1.9,6.1
Deep Bay,DM1,2016-07-13,1,Surface Water,13,0.007,108.2,0.79,6.6,6.2,2.8,28.0,86,14,1.0,0.2,9.1,6.6,0.19,0.35,0.045,1100000,550000,1.9,24.0,3.7,2.4,11
Deep Bay,DM1,2016-08-03,1,Surface Water,3.7,0.012,25.3,0.29,3.83,3.1,2.53,27.5,29,8,1.5,4.8,4.7,7.0,0.19,0.26,0.47,17000,8600,5.9,76.0,4.8,1.8,1.6
Deep Bay,DM1,2016-09-01,1,Surface Water,3.4,0.007,28.5,0.43,2.22,1.4,1.55,29.6,25,8.4,1.4,15.3,3.4,7.1,0.24,0.25,0.57,1100,530,5.8,83.0,4.1,0.73,1.9
Deep Bay,DM1,2016-10-08,1,Surface Water,5.4,0.014,17.8,0.47,6.78,5.1,4.48,29.3,21,21,1.7,6.6,5.5,6.8,0.34,0.58,1.1,95000,58000,7.0,94.0,16,2.8,5
